Description;Native;Bytes;R-encoding;Synonyms;DefWords;DescDef
black rightpointing double triangle;⏩;\xE2\x8F\xA9;<e2><8f><a9>;black jet slate rightpointing word painting put point on double dual binary triangle affair love;achromatic color maximum darkness little hue owing absorption almost incident light belonging racial group especially subsaharan african origin marked anger resentment hostility offering little hope stemming evil characteristics forces wicked dishonorable of events of face extremely dark harshly ironic sinister of intelligence operations distributed sold illicitly used conduct character of coffee soiled dirt soot blackest black similar color jet coal designate schedule enter list slate election cover slate put words expression make painting apply paint to coat paint make painting apply liquid to eg paint gutters linseed oil put certain place abstract location cause certain state cause certain relation formulate particular style language attribute give make investment estimate cause someone arrange thoughts ideas temporal events indicate place direction person thing either spatially figuratively oriented direct position use direct course determine direction travelling signal symptom sail close wind mark hebrew words mark diacritics mark a psalm text positionable specified manner intend something indicate presence game give point repair joints bricks operation operational of events one decidedly dissimilar aspects qualities dual consisting involving two parts components usually pairs binary double multiple two twice great many used flowers usual number petals crowded overlapping arrangements used homologous chromosomes associated pairs synapsis large enough two two meanings intent deceive consisting involving two parts components usually pairs binary double multiple two one decidedly dissimilar aspects qualities dual grammatical number category referring two items units opposed one item singular plural pertaining number system 2 base consisting two units components elements terms threesided polygon something approximating shape triangle small northern constellation near perseus andromeda aries various triangular drafting instruments used draw straight lines specified angles percussion instrument consisting metal bar bent shape open triangle vaguely specified concern usually secretive illicit sexual relationship vaguely specified social event great affection liking get pleasure enamored love sexual intercourse;achromatic color maximum darkness little hue owing absorption almost incident light belonging racial group especially subsaharan african origin marked anger resentment hostility offering little hope stemming evil characteristics forces wicked dishonorable of events of face extremely dark harshly ironic sinister of intelligence operations distributed sold illicitly used conduct character of coffee soiled dirt soot make become black quality state achromatic color least lightness bearing least resemblance white total absence light british chemist identified carbon dioxide formulated concepts specific heat latent heat 17281799 popular child actress 1930s born 1928 board games black clothing worn sign mourning one decidedly dissimilar aspects qualities dual consisting involving two parts components usually pairs binary double multiple two twice great many used flowers usual number petals crowded overlapping arrangements used homologous chromosomes associated pairs synapsis large enough two two meanings intent deceive increase twofold hit twobase hit bend curl up usually laughter pain double duty serve two purposes two functions bridge make demand a card suit make perform base hit batter stops safely second base standin movie stars perform dangerous stunts someone closely resembles famous person especially actor quantity twice great another raising stakes card game factor 2 downward forward two together double degree threesided polygon something approximating shape triangle small northern constellation near perseus andromeda aries various triangular drafting instruments used draw straight lines specified angles percussion instrument consisting metal bar bent shape open triangle
black rightpointing triangle;▶;\xE2\x96\xB6;<e2><96><b6>;black jet slate rightpointing word painting put point on triangle affair love;achromatic color maximum darkness little hue owing absorption almost incident light belonging racial group especially subsaharan african origin marked anger resentment hostility offering little hope stemming evil characteristics forces wicked dishonorable of events of face extremely dark harshly ironic sinister of intelligence operations distributed sold illicitly used conduct character of coffee soiled dirt soot blackest black similar color jet coal designate schedule enter list slate election cover slate put words expression make painting apply paint to coat paint make painting apply liquid to eg paint gutters linseed oil put certain place abstract location cause certain state cause certain relation formulate particular style language attribute give make investment estimate cause someone arrange thoughts ideas temporal events indicate place direction person thing either spatially figuratively oriented direct position use direct course determine direction travelling signal symptom sail close wind mark hebrew words mark diacritics mark a psalm text positionable specified manner intend something indicate presence game give point repair joints bricks operation operational of events threesided polygon something approximating shape triangle small northern constellation near perseus andromeda aries various triangular drafting instruments used draw straight lines specified angles percussion instrument consisting metal bar bent shape open triangle vaguely specified concern usually secretive illicit sexual relationship vaguely specified social event great affection liking get pleasure enamored love sexual intercourse;achromatic color maximum darkness little hue owing absorption almost incident light belonging racial group especially subsaharan african origin marked anger resentment hostility offering little hope stemming evil characteristics forces wicked dishonorable of events of face extremely dark harshly ironic sinister of intelligence operations distributed sold illicitly used conduct character of coffee soiled dirt soot make become black quality state achromatic color least lightness bearing least resemblance white total absence light british chemist identified carbon dioxide formulated concepts specific heat latent heat 17281799 popular child actress 1930s born 1928 board games black clothing worn sign mourning threesided polygon something approximating shape triangle small northern constellation near perseus andromeda aries various triangular drafting instruments used draw straight lines specified angles percussion instrument consisting metal bar bent shape open triangle
black rightwards arrow;➡;\xE2\x9E\xA1;<e2><9e><a1>;black jet slate rightwards rewards right sorts arrow missile projectile;achromatic color maximum darkness little hue owing absorption almost incident light belonging racial group especially subsaharan african origin marked anger resentment hostility offering little hope stemming evil characteristics forces wicked dishonorable of events of face extremely dark harshly ironic sinister of intelligence operations distributed sold illicitly used conduct character of coffee soiled dirt soot blackest black similar color jet coal designate schedule enter list slate election cover slate bestow honor rewards upon strengthen support rewards act give recompense recognition someones behavior actions located directed toward side body east facing north free error especially conforming fact truth socially right correct conformance justice law morality correct opinion judgment appropriate condition purpose occasion persons character needs belonging political intellectual right satisfactory condition intended right hand accord accepted standards usage procedure axis perpendicular base of side cloth clothing informal suitable right particular purpose precisely accurate examine order test suitability arrange order classes categories mark indicate direction relation projectile straight thin shaft arrowhead one end stabilizing vanes other intended shot bow rocket carrying warhead conventional nuclear explosives may ballistic directed remote control weapon forcibly thrown projected targets selfpropelled impelling impelled forward;achromatic color maximum darkness little hue owing absorption almost incident light belonging racial group especially subsaharan african origin marked anger resentment hostility offering little hope stemming evil characteristics forces wicked dishonorable of events of face extremely dark harshly ironic sinister of intelligence operations distributed sold illicitly used conduct character of coffee soiled dirt soot make become black quality state achromatic color least lightness bearing least resemblance white total absence light british chemist identified carbon dioxide formulated concepts specific heat latent heat 17281799 popular child actress 1930s born 1928 board games black clothing worn sign mourning mark indicate direction relation projectile straight thin shaft arrowhead one end stabilizing vanes other intended shot bow
black scissors;✂;\xE2\x9C\x82;<e2><9c><82>;black jet slate scissors shears clippers;achromatic color maximum darkness little hue owing absorption almost incident light belonging racial group especially subsaharan african origin marked anger resentment hostility offering little hope stemming evil characteristics forces wicked dishonorable of events of face extremely dark harshly ironic sinister of intelligence operations distributed sold illicitly used conduct character of coffee soiled dirt soot blackest black similar color jet coal designate schedule enter list slate election cover slate cut scissors cut shears shear wool cut cut shears become deformed forces tending produce shearing strain electronics clip peaks waveform fast sailing ship used former times shears cutting grass shrubbery often used plural scissors cutting hair finger nails often used plural;achromatic color maximum darkness little hue owing absorption almost incident light belonging racial group especially subsaharan african origin marked anger resentment hostility offering little hope stemming evil characteristics forces wicked dishonorable of events of face extremely dark harshly ironic sinister of intelligence operations distributed sold illicitly used conduct character of coffee soiled dirt soot make become black quality state achromatic color least lightness bearing least resemblance white total absence light british chemist identified carbon dioxide formulated concepts specific heat latent heat 17281799 popular child actress 1930s born 1928 board games black clothing worn sign mourning cut scissors edge tool two crossed pivoting blades wrestling hold wrap legs around opponents body head put feet together squeeze gymnastic exercise performed pommel horse gymnast moves legs blades scissors move
black small square;▪;\xE2\x96\xAA;<e2><96><aa>;black jet slate small poor limited square even fair;achromatic color maximum darkness little hue owing absorption almost incident light belonging racial group especially subsaharan african origin marked anger resentment hostility offering little hope stemming evil characteristics forces wicked dishonorable of events of face extremely dark harshly ironic sinister of intelligence operations distributed sold illicitly used conduct character of coffee soiled dirt soot blackest black similar color jet coal designate schedule enter list slate election cover slate limited average number quantity magnitude extent small relatively moderate limited small of children animals slight limited especially degree intensity scope low inferior station quality lowercase of voice fine small constituent particles large sufficient size amount made seem smaller less especially worth deserving inciting pity little money possessions characterized indicating poverty lacking quality substances insufficient quantity meet need small range scope subject limits subjected limits including part mediocre excessive specific function scope specific unlimited four equal sides four right angles forming right angle characterized honesty fairness providing abundant nourishment leaving balance without evasion compromise rigidly conventional oldfashioned divisible two equal degree extent amount equally matched balanced even even level straight regular without variation eg shape texture plane height something else ie even symmetrically arranged occurring fixed intervals score contest free favoritism selfinterest bias deception conforming established standards rules excessive extreme pleasing eye of baseball lacking exceptional quality ability attractively feminine of manuscript gained earned without cheating stealing free clouds rain used hair skin;achromatic color maximum darkness little hue owing absorption almost incident light belonging racial group especially subsaharan african origin marked anger resentment hostility offering little hope stemming evil characteristics forces wicked dishonorable of events of face extremely dark harshly ironic sinister of intelligence operations distributed sold illicitly used conduct character of coffee soiled dirt soot make become black quality state achromatic color least lightness bearing least resemblance white total absence light british chemist identified carbon dioxide formulated concepts specific heat latent heat 17281799 popular child actress 1930s born 1928 board games black clothing worn sign mourning limited average number quantity magnitude extent small relatively moderate limited small of children animals slight limited especially degree intensity scope low inferior station quality lowercase of voice fine small constituent particles large sufficient size amount made seem smaller less especially worth slender part back garment size small person small scale four equal sides four right angles forming right angle characterized honesty fairness providing abundant nourishment leaving balance without evasion compromise rigidly conventional oldfashioned make square raise second power cause match ideas acts position square compatible pay someone settle debt turn paddle canoeing turn oar rowing geometry product two equal terms open area meeting two streets something approximating shape square someone doesnt understand going formal conservative person oldfashioned views artifact shape similar plane geometric figure four equal sides four right angles hand tool consisting two straight arms right angles used construct test right angles straight direct way square shape firmly solidly
black spade suit;♠;\xE2\x99\xA0;<e2><99><a0>;black jet slate spade shovel spud suit uniform costume;achromatic color maximum darkness little hue owing absorption almost incident light belonging racial group especially subsaharan african origin marked anger resentment hostility offering little hope stemming evil characteristics forces wicked dishonorable of events of face extremely dark harshly ironic sinister of intelligence operations distributed sold illicitly used conduct character of coffee soiled dirt soot blackest black similar color jet coal designate schedule enter list slate election cover slate dig up dig shovel initiate drilling operations petroleum produce buds branches germinate agreeable acceptable agreeable acceptable accord comport enhance appearance always same showing single form character occurrences throughout structure composition differentiated evenly spaced uniform dress costume furnish costumes film play;achromatic color maximum darkness little hue owing absorption almost incident light belonging racial group especially subsaharan african origin marked anger resentment hostility offering little hope stemming evil characteristics forces wicked dishonorable of events of face extremely dark harshly ironic sinister of intelligence operations distributed sold illicitly used conduct character of coffee soiled dirt soot make become black quality state achromatic color least lightness bearing least resemblance white total absence light british chemist identified carbon dioxide formulated concepts specific heat latent heat 17281799 popular child actress 1930s born 1928 board games black clothing worn sign mourning dig up playing card major suit one black figures sturdy hand shovel pushed earth foot agreeable acceptable agreeable acceptable accord comport enhance appearance set garments usually including jacket trousers skirt comprehensive term proceeding court law whereby individual seeks legal remedy slang mans courting woman seeking affections woman usually hope marriage petition appeal made person superior status rank playing card four sets 13 cards pack set symbol color
black square button;🔲;\xF0\x9F\x94\xB2;<ed><a0><bd><ed><b4><b2>;black jet slate square even fair button knob fastening;achromatic color maximum darkness little hue owing absorption almost incident light belonging racial group especially subsaharan african origin marked anger resentment hostility offering little hope stemming evil characteristics forces wicked dishonorable of events of face extremely dark harshly ironic sinister of intelligence operations distributed sold illicitly used conduct character of coffee soiled dirt soot blackest black similar color jet coal designate schedule enter list slate election cover slate four equal sides four right angles forming right angle characterized honesty fairness providing abundant nourishment leaving balance without evasion compromise rigidly conventional oldfashioned divisible two equal degree extent amount equally matched balanced even even level straight regular without variation eg shape texture plane height something else ie even symmetrically arranged occurring fixed intervals score contest free favoritism selfinterest bias deception conforming established standards rules excessive extreme pleasing eye of baseball lacking exceptional quality ability attractively feminine of manuscript gained earned without cheating stealing free clouds rain used hair skin provide buttons fasten buttons circular rounded projection protuberance round handle thickened enlargement ornament shape ball hilt sword dagger cause firmly attached become fixed fastened attach make tight tighter;achromatic color maximum darkness little hue owing absorption almost incident light belonging racial group especially subsaharan african origin marked anger resentment hostility offering little hope stemming evil characteristics forces wicked dishonorable of events of face extremely dark harshly ironic sinister of intelligence operations distributed sold illicitly used conduct character of coffee soiled dirt soot make become black quality state achromatic color least lightness bearing least resemblance white total absence light british chemist identified carbon dioxide formulated concepts specific heat latent heat 17281799 popular child actress 1930s born 1928 board games black clothing worn sign mourning four equal sides four right angles forming right angle characterized honesty fairness providing abundant nourishment leaving balance without evasion compromise rigidly conventional oldfashioned make square raise second power cause match ideas acts position square compatible pay someone settle debt turn paddle canoeing turn oar rowing geometry product two equal terms open area meeting two streets something approximating shape square someone doesnt understand going formal conservative person oldfashioned views artifact shape similar plane geometric figure four equal sides four right angles hand tool consisting two straight arms right angles used construct test right angles straight direct way square shape firmly solidly provide buttons fasten buttons round fastener sewn shirts coats etc fit buttonholes electrical switch operated pressing various plant parts resemble buttons round flat badge displaying information suitable pinning onto garment female sexual organ homologous penis device pressed release part mechanism artifact resembles button
black sun with rays;☀;\xE2\x98\x80;<e2><98><80>;black jet slate sun star shine with along alongside rays light radiation;achromatic color maximum darkness little hue owing absorption almost incident light belonging racial group especially subsaharan african origin marked anger resentment hostility offering little hope stemming evil characteristics forces wicked dishonorable of events of face extremely dark harshly ironic sinister of intelligence operations distributed sold illicitly used conduct character of coffee soiled dirt soot blackest black similar color jet coal designate schedule enter list slate election cover slate expose ones body sun expose rays sun affect exposure sun indicating important performer role bright reflecting casting light emit light bright sun light shiny wet distinguished eminent clear obvious complexion strong bright color red pink throw flash light a lamp touch seem touching visually audibly experience feeling wellbeing happiness good health intense emotion make a surface forward motion accompaniment companion advanced state addition usually followed with side side emit rays extend spread outward center focus inward towards center expose radiation comparatively little physical weight density used color military industry using or great degree quantity number psychologically light especially free sadness troubles characterized emitting light used vowels syllables easily assimilated alimentary canal rich heavily seasoned used soil of sound color moving easily quickly nimble demanding little effort burdensome little intensity power force physics chemistry weak likely lose consciousness thin insubstantial marked temperance indulgence less correct legal full amount often deliberately little importance intended primarily entertainment serious profound silly trivial designed ease movement carry little weight relatively calories lite light of sleep casual unrestrained sexual behavior light energy radiated transmitted form rays waves particles act spreading outward central source syndrome resulting exposure ionizing radiation eg exposure radioactive chemicals nuclear explosions spontaneous emission stream particles electromagnetic rays nuclear decay spread group organisms new habitats radial arrangement nerve fibers connecting different parts brain medicine especially cancer;achromatic color maximum darkness little hue owing absorption almost incident light belonging racial group especially subsaharan african origin marked anger resentment hostility offering little hope stemming evil characteristics forces wicked dishonorable of events of face extremely dark harshly ironic sinister of intelligence operations distributed sold illicitly used conduct character of coffee soiled dirt soot make become black quality state achromatic color least lightness bearing least resemblance white total absence light british chemist identified carbon dioxide formulated concepts specific heat latent heat 17281799 popular child actress 1930s born 1928 board games black clothing worn sign mourning expose ones body sun expose rays sun affect exposure sun star source light heat planets solar system rays sun person considered source warmth energy glory etc star around planetary system revolves first day week observed day rest worship christians emit rays extend spread outward center focus inward towards center expose radiation column light as beacon branch umbel umbelliform inflorescence mathematics group nearly parallel lines electromagnetic radiation syllable naming second supertonic stiff bony spines fin fish cartilaginous fishes horizontally flattened bodies enlarged winglike pectoral fins gills underside swim moving pectoral fins
black telephone;☎;\xE2\x98\x8E;<e2><98><8e>;black jet slate telephone phone dial;achromatic color maximum darkness little hue owing absorption almost incident light belonging racial group especially subsaharan african origin marked anger resentment hostility offering little hope stemming evil characteristics forces wicked dishonorable of events of face extremely dark harshly ironic sinister of intelligence operations distributed sold illicitly used conduct character of coffee soiled dirt soot blackest black similar color jet coal designate schedule enter list slate election cover slate get try get communication with someone get try get communication with someone operate dial select telephone number choose means dial;achromatic color maximum darkness little hue owing absorption almost incident light belonging racial group especially subsaharan african origin marked anger resentment hostility offering little hope stemming evil characteristics forces wicked dishonorable of events of face extremely dark harshly ironic sinister of intelligence operations distributed sold illicitly used conduct character of coffee soiled dirt soot make become black quality state achromatic color least lightness bearing least resemblance white total absence light british chemist identified carbon dioxide formulated concepts specific heat latent heat 17281799 popular child actress 1930s born 1928 board games black clothing worn sign mourning get try get communication with someone electronic equipment converts sound electrical signals transmitted distances converts received signals back sounds transmitting speech distance
black universal recycling symbol;♻;\xE2\x99\xBB;<e2><99><bb>;black jet slate universal ubiquitous prevalent recycling convert save symbol design emblem;achromatic color maximum darkness little hue owing absorption almost incident light belonging racial group especially subsaharan african origin marked anger resentment hostility offering little hope stemming evil characteristics forces wicked dishonorable of events of face extremely dark harshly ironic sinister of intelligence operations distributed sold illicitly used conduct character of coffee soiled dirt soot blackest black similar color jet coal designate schedule enter list slate election cover slate worldwide scope applicability applicable common members group set adapted various purposes sizes forms operations present everywhere frequent common cause repeat cycle use processing change one system another new plan policy change nature purpose function something change religious beliefs adopt religious belief exchange replace another usually kind category cause adopt new different faith score extra point points touchdown kicking ball uprights advancing ball end zone complete successfully score a spare make someone exchange penalty less severe one change nature purpose function undergo chemical change save ruin destruction harm keep reserve personal special use bring safety spend less buy reduced price accumulate money future use make unnecessary expenditure effort save sins refrain harming spend sparingly avoid waste retain rights record data computer arbitrary sign written printed something visible association convention represents something else invisible make work plan for devise plan something specific role purpose effect create design for create execute artistic highly skilled manner make design of plan systematic often graphic form create designs conceive fashion mind invent intend purpose special design visual object representing quality type group etc visible symbol representing abstract idea;achromatic color maximum darkness little hue owing absorption almost incident light belonging racial group especially subsaharan african origin marked anger resentment hostility offering little hope stemming evil characteristics forces wicked dishonorable of events of face extremely dark harshly ironic sinister of intelligence operations distributed sold illicitly used conduct character of coffee soiled dirt soot make become black quality state achromatic color least lightness bearing least resemblance white total absence light british chemist identified carbon dioxide formulated concepts specific heat latent heat 17281799 popular child actress 1930s born 1928 board games black clothing worn sign mourning worldwide scope applicability applicable common members group set adapted various purposes sizes forms operations linguistics linguistic feature logic behavioral convention pattern characteristic members particular culture human beings coupling connects two rotating shafts allowing freedom movement directions cause repeat cycle use processing used abandoned materials use creating new products act processing used abandoned materials use creating new products arbitrary sign written printed something visible association convention represents something else invisible
black uppointing double triangle;⏫;\xE2\x8F\xAB;<e2><8f><ab>;black jet slate uppointing appointings painting double dual binary triangle affair love;achromatic color maximum darkness little hue owing absorption almost incident light belonging racial group especially subsaharan african origin marked anger resentment hostility offering little hope stemming evil characteristics forces wicked dishonorable of events of face extremely dark harshly ironic sinister of intelligence operations distributed sold illicitly used conduct character of coffee soiled dirt soot blackest black similar color jet coal designate schedule enter list slate election cover slate make painting apply paint to coat paint make painting apply liquid to eg paint gutters linseed oil one decidedly dissimilar aspects qualities dual consisting involving two parts components usually pairs binary double multiple two twice great many used flowers usual number petals crowded overlapping arrangements used homologous chromosomes associated pairs synapsis large enough two two meanings intent deceive consisting involving two parts components usually pairs binary double multiple two one decidedly dissimilar aspects qualities dual grammatical number category referring two items units opposed one item singular plural pertaining number system 2 base consisting two units components elements terms threesided polygon something approximating shape triangle small northern constellation near perseus andromeda aries various triangular drafting instruments used draw straight lines specified angles percussion instrument consisting metal bar bent shape open triangle vaguely specified concern usually secretive illicit sexual relationship vaguely specified social event great affection liking get pleasure enamored love sexual intercourse;achromatic color maximum darkness little hue owing absorption almost incident light belonging racial group especially subsaharan african origin marked anger resentment hostility offering little hope stemming evil characteristics forces wicked dishonorable of events of face extremely dark harshly ironic sinister of intelligence operations distributed sold illicitly used conduct character of coffee soiled dirt soot make become black quality state achromatic color least lightness bearing least resemblance white total absence light british chemist identified carbon dioxide formulated concepts specific heat latent heat 17281799 popular child actress 1930s born 1928 board games black clothing worn sign mourning one decidedly dissimilar aspects qualities dual consisting involving two parts components usually pairs binary double multiple two twice great many used flowers usual number petals crowded overlapping arrangements used homologous chromosomes associated pairs synapsis large enough two two meanings intent deceive increase twofold hit twobase hit bend curl up usually laughter pain double duty serve two purposes two functions bridge make demand a card suit make perform base hit batter stops safely second base standin movie stars perform dangerous stunts someone closely resembles famous person especially actor quantity twice great another raising stakes card game factor 2 downward forward two together double degree threesided polygon something approximating shape triangle small northern constellation near perseus andromeda aries various triangular drafting instruments used draw straight lines specified angles percussion instrument consisting metal bar bent shape open triangle
blossom;🌼;\xF0\x9F\x8C\xBC;<ed><a0><bc><ed><bc><bc>;blossom bloom efflorescence;produce yield flowers develop come promising stage produce yield flowers period greatest prosperity productivity red eruption skin time process budding unfolding blossoms powdery deposit surface;produce yield flowers develop come promising stage reproductive organ angiosperm plants especially one showy colorful parts period greatest prosperity productivity
blowfish;🐡;\xF0\x9F\x90\xA1;<ed><a0><bd><ed><b0><a1>;blowfish blow fuse wolfish;delicacy highly dangerous potent nerve poison ovaries liver numerous marine fishes whose elongated spiny body inflate water air form globe several species contain potent nerve poison closely related spiny puffers exhale hard blowing storming free obstruction blowing air motion due air water current make sound blown shape blowing inadequate objectionable make mess of destroy ruin spend thoughtlessly throw away spend lavishly wastefully sound air expelled tube play sound wind instrument provide sexual gratification oral stimulation cause air go in on cause move means air current spout moist air blowhole leave informal rude lay eggs cause revealed jeopardized show allow regain breath melt break become otherwise unusable burst suddenly mix together different elements become plastic fluid liquefied heat equip fuse provide fuse make liquid plastic heating resembling characteristic or considered characteristic devouring craving food great quantities;delicacy highly dangerous potent nerve poison ovaries liver numerous marine fishes whose elongated spiny body inflate water air form globe several species contain potent nerve poison closely related spiny puffers
blue book;📘;\xF0\x9F\x93\x98;<ed><a0><bd><ed><b3><98>;blue turquoise royal book essay album;color intermediate green violet color similar clear unclouded sky used signify union forces american civil war who wore blue uniforms filled melancholy despondency characterized profanity cursing suggestive sexual impropriety belonging characteristic nobility aristocracy morally rigorous strict causing dejection blue grey green mineral consisting copper aluminum phosphate shade blue tinged green relating indicative issued performed king queen monarch established chartered authorized royalty rank monarch belonging befitting supreme ruler invested royal power symbolized crown crowned engage performance arrange reserve something someone else record charge police register register hotel booker make effort attempt put test quality give experimental use one recordings issued together originally released 12inch phonograph records usually attractive record covers book blank pages pockets envelopes organizing photographs stamp collections etc;color intermediate green violet color similar clear unclouded sky used signify union forces american civil war who wore blue uniforms filled melancholy despondency characterized profanity cursing suggestive sexual impropriety belonging characteristic nobility aristocracy morally rigorous strict causing dejection turn blue blue color pigment resembling color clear sky daytime blue clothing organization party whose uniforms badges blue sky viewed daylight used whiten laundry hair give bluish tinge sodium salt amobarbital used barbiturate used sedative hypnotic numerous small butterflies family lycaenidae engage performance arrange reserve something someone else record charge police register register hotel booker written work composition published printed pages bound together physical objects consisting number pages bound together compilation known facts regarding something someone written version play dramatic composition used preparing performance record commercial accounts recorded collection playing cards satisfying rules card game collection rules prescribed standards basis decisions made sacred writings islam revealed god prophet muhammad life mecca medina sacred writings christian religions major division long written composition number sheets ticket stamps etc
blue heart;💙;\xF0\x9F\x92\x99;<ed><a0><bd><ed><b2><99>;blue turquoise royal heart character feeling;color intermediate green violet color similar clear unclouded sky used signify union forces american civil war who wore blue uniforms filled melancholy despondency characterized profanity cursing suggestive sexual impropriety belonging characteristic nobility aristocracy morally rigorous strict causing dejection blue grey green mineral consisting copper aluminum phosphate shade blue tinged green relating indicative issued performed king queen monarch established chartered authorized royalty rank monarch belonging befitting supreme ruler invested royal power symbolized crown crowned locus feelings intuitions hollow muscular organ located behind sternum lungs rhythmic contractions move blood body courage carry area approximately central within larger region choicest essential vital part idea experience inclination tendency certain kind plane figure rounded sides curving inward top intersecting bottom conventionally used playing cards valentines firm rather dry variety meat usually beef veal positive feeling liking playing card major suit one red hearts engrave inscribe characters undergo emotional sensation particular state mind come believe basis emotion intuitions indefinite grounds perceive physical sensation eg coming skin muscles conscious physical mental emotional state feeling perception oneself reaction someones behavior attitude undergo passive experience felt perceived certain way grope feel search something examine touch examine a body part find testing cautious exploration produce certain impression pass ones hands sexual organs;color intermediate green violet color similar clear unclouded sky used signify union forces american civil war who wore blue uniforms filled melancholy despondency characterized profanity cursing suggestive sexual impropriety belonging characteristic nobility aristocracy morally rigorous strict causing dejection turn blue blue color pigment resembling color clear sky daytime blue clothing organization party whose uniforms badges blue sky viewed daylight used whiten laundry hair give bluish tinge sodium salt amobarbital used barbiturate used sedative hypnotic numerous small butterflies family lycaenidae locus feelings intuitions hollow muscular organ located behind sternum lungs rhythmic contractions move blood body courage carry area approximately central within larger region choicest essential vital part idea experience inclination tendency certain kind plane figure rounded sides curving inward top intersecting bottom conventionally used playing cards valentines firm rather dry variety meat usually beef veal positive feeling liking playing card major suit one red hearts
boar;🐗;\xF0\x9F\x90\x97;<ed><a0><bd><ed><b0><97>;boar swine sow;old world wild swine narrow body prominent tusks domestic swine come introduced united states uncastrated male hog stoutbodied shortlegged omnivorous animals place seeds introduce environment place seeds the ground;old world wild swine narrow body prominent tusks domestic swine come introduced united states uncastrated male hog
bomb;💣;\xF0\x9F\x92\xA3;<ed><a0><bd><ed><b2><a3>;bomb explosive rocket;throw bombs attack bombs fail get passing grade serving explode characterized explosion sudden outburst liable lead sudden change violence sudden loud shoot abruptly like rocket propel rocket;throw bombs attack bombs fail get passing grade explosive device fused explode specific conditions strong sealed vessel measuring heat combustion event fails badly totally ineffectual
bookmark;🔖;\xF0\x9F\x94\x96;<ed><a0><bd><ed><b4><96>;bookmark flap clip;marker a piece paper ribbon move wavy pattern rising falling motion move noisily move thrashing motion move flapping motion make fuss agitated pronounce flap alveolar sounds sever remove pinching snipping run moderately swift pace attach clip cultivate tend cut back growth terminate abbreviate intended proper end full extent;marker a piece paper ribbon
bookmark tabs;📑;\xF0\x9F\x93\x91;<ed><a0><bd><ed><b3><91>;bookmark flap clip tabs flap clip;marker a piece paper ribbon move wavy pattern rising falling motion move noisily move thrashing motion move flapping motion make fuss agitated pronounce flap alveolar sounds sever remove pinching snipping run moderately swift pace attach clip cultivate tend cut back growth terminate abbreviate intended proper end full extent bill restaurant sensationalist journalism key typewriter word processor causes tabulation short strip material attached projecting something order facilitate opening identifying handling dose medicine form small pellet move wavy pattern rising falling motion move noisily move thrashing motion move flapping motion make fuss agitated pronounce flap alveolar sounds sever remove pinching snipping run moderately swift pace attach clip cultivate tend cut back growth terminate abbreviate intended proper end full extent;marker a piece paper ribbon bill restaurant sensationalist journalism key typewriter word processor causes tabulation short strip material attached projecting something order facilitate opening identifying handling dose medicine form small pellet
books;📚;\xF0\x9F\x93\x9A;<ed><a0><bd><ed><b3><9a>;books essay album;engage performance arrange reserve something someone else record charge police register register hotel booker make effort attempt put test quality give experimental use one recordings issued together originally released 12inch phonograph records usually attractive record covers book blank pages pockets envelopes organizing photographs stamp collections etc;engage performance arrange reserve something someone else record charge police register register hotel booker written work composition published printed pages bound together physical objects consisting number pages bound together compilation known facts regarding something someone written version play dramatic composition used preparing performance record commercial accounts recorded collection playing cards satisfying rules card game collection rules prescribed standards basis decisions made sacred writings islam revealed god prophet muhammad life mecca medina sacred writings christian religions major division long written composition number sheets ticket stamps etc
bouquet;💐;\xF0\x9F\x92\x90;<ed><a0><bd><ed><b2><90>;bouquet pot wreath;arrangement flowers usually given present pleasingly sweet olfactory property plant pot flower arrangement consisting circular band foliage flowers ornamental purposes;arrangement flowers usually given present pleasingly sweet olfactory property
bowling;🎳;\xF0\x9F\x8E\xB3;<ed><a0><bc><ed><be><b3>;bowling skittles duckpins;roll a ball hurl cricket ball one end pitch towards batsman end engage sport bowling play skittles bowling pin short squat comparison tenpin bowling game using pin smaller tenpin proportionately wider;roll a ball hurl cricket ball one end pitch towards batsman end engage sport bowling game balls rolled object group objects aim knocking moving cricket playing game tenpins duckpins etc
boy;👦;\xF0\x9F\x91\xA6;<ed><a0><bd><ed><b1><a6>;boy lad fellow;youthful male person friendly informal reference grown man male human offspring boy man male child a familiar term address boy boy man friend frequently company another person member ones class profession one pair member learned society informal form address man man lover man woman;youthful male person friendly informal reference grown man male human offspring
bread;🍞;\xF0\x9F\x8D\x9E;<ed><a0><bc><ed><bd><9e>;bread feed fare;cover bread crumbs give tip gratuity return service beyond compensation agreed provide food give food feed into supply introduce continuously support promote take food used animals serve food for food move along liquids profit exploitatory manner gratify provide fertilizers add nutrients proceed get along eat well;cover bread crumbs food made dough flour meal usually raised yeast baking powder baked informal terms money
